80000000000,80000000000,80000000000,80000000000,80000000000,80000000000
30075187969.9248,30075187969.9248,30075187969.9248,30075187969.9248,30075187969.9248,30075187969.9248
2600,2600,2600,2600,2600,2600
1.3,0.57,0.13,0.13,1000,1000
0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.0005,0.0005,0.001,0.001
1e-06,1e-06,5e-07,5e-07,1e-06,1e-06
8.33333333333333e-14,8.33333333333333e-14,1.04166666666667e-14,1.04166666666667e-14,8.33333333333333e-14,8.33333333333333e-14
